UUID_128,imagename
0xadab0bd16e7d4601bda2bffaa68956ba,Fitbit_Wearable
0xadab0cf56e7d4601bda2bffaa68956ba,Fitbit_Wearable
0xadab71766e7d4601bda2bffaa68956ba,Fitbit_Wearable
0xadabfb006e7d4601bda2bffaa68956ba,Fitbit_Wearable
0x52052c11e701478299f58ce88dbb1500,Allegion_ENGAGE
0x6e400001b5a3f393e0a9e50e24dcca9e,Nordic_Semiconductor_ASA
0x7265656c794163746976652055554944,reelyActive_RA-R436
0x7265656c7941707020416e64726f6964,reelyActive_reelyApp-Android
0x7265656c7941707020666f7220694f53,reelyActive_reelyApp-iOS
0xcbbfe0e1f7f3420684e084cbb3d09dfc,ASUS_Nexus-Player
0xd2d3f8ef9c994d9ca2b391c85d44326c,Nest_Cam
0xd5060001a904deb947482c7f4a124842,Thalmic-Labs_Myo
0xf02adfc026e711e49edc0002a5d5c51B,Shortcut-Labs_FLIC
